stop_id,difficulty_id,location
1087925,139,Mława
1087926,142,Działdowo
1087928,139,Waplewo
1087931,146,
1087935,142,
1087937,142,
1087938,142,
1087939,142,Ciechanów
1087947,142,
1087949,148,
1087950,148,
1087960,142,Prabuty
1087961,148,Prabuty
1087962,148,
1087982,143,Prabuty
1087996,142,Łódź Fabryczna
1088024,143,
1088026,142,
1088029,142,
1088030,142,Ciechanów
1088033,142,Warszawa Praga PZS R21-46
1088037,141,
1088039,139,
1088043,30,Olsztynek
1088075,141,
1088077,141,
1088104,160,
1088105,160,
1088138,30,Kutno
1088143,141,Warszawa Wschodnia
1088161,143,
1088165,30,Otwock
1088166,30,Celestynów
1088177,142,
1088195,146,Tunel
1088203,148,Mleczewo
1088204,148,Warszawa Praga PZS R21-46
1088207,148,
1088215,142,Redaki
1088216,148,
1088219,142,
1088221,143,
1088227,148,Mleczewo
1088228,143,Chotomów
1088231,142,Tunel
1088242,148,Mława
1088245,141,
1088250,143,
1088261,144,Trzebinia
1088268,145,
1088269,145,
1088278,145,Warszawa Centralna
1088279,145,Warszawa Centralna
1088281,141,
1088284,146,
1088285,146,Włoszczowa
1088301,142,Tunel
1088302,142,Niedźwiedź
1088319,141,
1088329,141,Działdowo
1088345,146,Tunel
1088351,142,Działdowo
1088356,142,Warszawa Wschodnia
1088358,199,Warszawa Zachodnia
1088361,148,
1088364,142,
1088367,142,
1088368,148,
1088377,30,Chotomów
1088384,148,Miechów
1088385,148,Raciborowice
1088395,141,
1088396,141,
